airwayPathKey,airwayKey,awyId,awyLocation,awyDesignation,airwayString,sourceCycle,sourceTable,sourceRowId
AIRWAY_PATH:Q182:A,AIRWAY:Q182,Q182,A,RN,SPY GARRS AKN,2026-05-14,AWY_BASE,457
AIRWAY_PATH:Q184:C,AIRWAY:Q184,Q184,C,RN,FUZ DOBIS BERKE MIXIE STAGE KAMEN SARKK MERDN KWANE ARNNY,2026-05-14,AWY_BASE,458
AIRWAY_PATH:Q186:C,AIRWAY:Q186,Q186,C,RN,ZIINE PLAIN GERBS IDEAS WOOST STUNK FOODO SPYDY TEESY MIGET WEVEL SCAAM,2026-05-14,AWY_BASE,459
AIRWAY_PATH:Q188:A,AIRWAY:Q188,Q188,A,RN,SYA ADK,2026-05-14,AWY_BASE,460
AIRWAY_PATH:Q19:C,AIRWAY:Q19,Q19,C,RN,BULZI WYATT GOONS LAYIN TOJXE HITMN LAJUG TINGS DENNI PLESS STL TWAIN COLIE SKBOZ CHASY JAVAS DSM EYHUX FSD ABR,2026-05-14,AWY_BASE,461
AIRWAY_PATH:Q190:C,AIRWAY:Q190,Q190,C,RN,CRL RONZY PRANI KEEHO DORET ZORBO WIGGZ KONJE REBBL CFB KODEY RAHKS PONCT,2026-05-14,AWY_BASE,462
AIRWAY_PATH:Q2:C,AIRWAY:Q2,Q2,C,RN,BOILE HEDVI HOBOL ITUCO EWM,2026-05-14,AWY_BASE,463
AIRWAY_PATH:Q20:C,AIRWAY:Q20,Q20,C,RN,CNX HONDS UNNOS FUSCO JCT,2026-05-14,AWY_BASE,464
AIRWAY_PATH:Q21:C,AIRWAY:Q21,Q21,C,RN,JONEZ RZC,2026-05-14,AWY_BASE,465
AIRWAY_PATH:Q22:C,AIRWAY:Q22,Q22,C,RN,GUSTI OYSTY ACMES CATLN TWOUP BURGG NYBLK MASHI KIDDO OMENS BEARI UMBRE BBOBO SHTGN SYFER DANGR PYTHN BESSI MELMN JOEPO BRAND RBV LAURN LLUND BAYYS FOXWD,2026-05-14,AWY_BASE,466
AIRWAY_PATH:Q220:C,AIRWAY:Q220,Q220,C,RN,RIFLE HOFFI ORCHA ALBOW SEY SKOWL JAWZZ LARIE,2026-05-14,AWY_BASE,467
AIRWAY_PATH:Q221:C,AIRWAY:Q221,Q221,C,RN,AML JERES BEETS MICAH VALLO OGESY FORTT BIGEO WUNDR DLMAR,2026-05-14,AWY_BASE,468
AIRWAY_PATH:Q227:C,AIRWAY:Q227,Q227,C,RN,AML JERES BEETS MICAH VALLO OGESY TYMAN STENT KONJE STUBN,2026-05-14,AWY_BASE,469
AIRWAY_PATH:Q23:C,AIRWAY:Q23,Q23,C,RN,FSM RZC,2026-05-14,AWY_BASE,470
AIRWAY_PATH:Q232:C,AIRWAY:Q232,Q232,C,RN,STUBN DARBO CORDS HOPCE NEION,2026-05-14,AWY_BASE,471
AIRWAY_PATH:Q24:C,AIRWAY:Q24,Q24,C,RN,SAT CHURN SNIDR SEEDS WEMAR FFSSH WHAEL BLUMS BALIO MOLLR KAPAA LCH LSU IRUBE PAYTN,2026-05-14,AWY_BASE,472
AIRWAY_PATH:Q25:C,AIRWAY:Q25,Q25,C,RN,MEEOW ARG WLSUN PXV,2026-05-14,AWY_BASE,473
AIRWAY_PATH:Q26:C,AIRWAY:Q26,Q26,C,RN,ARG HENSY DEVAC,2026-05-14,AWY_BASE,474
AIRWAY_PATH:Q27:C,AIRWAY:Q27,Q27,C,RN,FSM ZALDA,2026-05-14,AWY_BASE,475
AIRWAY_PATH:Q28:C,AIRWAY:Q28,Q28,C,RN,GRAZN PYRMD HAKAT ESTEE PXV,2026-05-14,AWY_BASE,476
AIRWAY_PATH:Q29:C,AIRWAY:Q29,Q29,C,RN,HARES BAKRE MEMFS OMDUE SIDAE CREEP SEELA KLYNE DUTSH WWSHR SPYDY DORET JHW HANKK GONZZ KRAZZ NIPPY CABCI EBONY DUNOM,2026-05-14,AWY_BASE,477
AIRWAY_PATH:Q3:C,AIRWAY:Q3,Q3,C,RN,FEPOT FAMUK FELIX FRFLY FINER FOWND PYE,2026-05-14,AWY_BASE,478
AIRWAY_PATH:Q30:C,AIRWAY:Q30,Q30,C,RN,IZAAC HRISN VLKNN,2026-05-14,AWY_BASE,479
AIRWAY_PATH:Q31:C,AIRWAY:Q31,Q31,C,RN,DHART JODOX UJM TIIDE PXV,2026-05-14,AWY_BASE,480
AIRWAY_PATH:Q32:C,AIRWAY:Q32,Q32,C,RN,ELD BAKRE GAGLE CRAMM BNA SWAPP,2026-05-14,AWY_BASE,481
AIRWAY_PATH:Q33:C,AIRWAY:Q33,Q33,C,RN,IAH TAYUR CIDOR FOSIN SWEUP KAMEN DHART EDWAH LITTR PROWL,2026-05-14,AWY_BASE,482
AIRWAY_PATH:Q34:C,AIRWAY:Q34,Q34,C,RN,TXK LOOSE WASKO MATIE EDWAH MEMFS HENSY DITZL WAKOL HITMN SWAPP GHATS FOUNT TONIO KONGO NEALS SITTR ASBUR DENNY MAULS GVE BOOYA DUALY BIGRG PNGWN HULKK RBV,2026-05-14,AWY_BASE,483
AIRWAY_PATH:Q35:C,AIRWAY:Q35,Q35,C,RN,DRK NAVHO CORKR DNLAP WINEN NEERO KOATA IMB,2026-05-14,AWY_BASE,484
AIRWAY_PATH:Q36:C,AIRWAY:Q36,Q36,C,RN,RZC TWITS OMDUE DEPEC BNA SWAPP,2026-05-14,AWY_BASE,485
AIRWAY_PATH:Q37:C,AIRWAY:Q37,Q37,C,RN,FST CAVRN YORUB IMMAS PUB,2026-05-14,AWY_BASE,486
AIRWAY_PATH:Q38:C,AIRWAY:Q38,Q38,C,RN,ROKIT INCIN LAREY BESOM,2026-05-14,AWY_BASE,487
AIRWAY_PATH:Q39:C,AIRWAY:Q39,Q39,C,RN,CLAWD TARCI ASERY,2026-05-14,AWY_BASE,488
AIRWAY_PATH:Q4:C,AIRWAY:Q4,Q4,C,RN,BOILE HEDVI SCOLE SPTFR ZEBOL SKTTR ELP PEQ FUSCO DILLO CLL,2026-05-14,AWY_BASE,489
AIRWAY_PATH:Q40:C,AIRWAY:Q40,Q40,C,RN,AEX DOOMS WINAP MISLE BFOLO NIOLA JAARE OJESS ALEAN YICUT FEEDS MAULS FANPO,2026-05-14,AWY_BASE,490
AIRWAY_PATH:Q406:C,AIRWAY:Q406,Q406,C,RN,BWZ DBABE BASYE TRIBS BIGGO BAF,2026-05-14,AWY_BASE,491
AIRWAY_PATH:Q409:C,AIRWAY:Q409,Q409,C,RN,ENEME PUPYY ISUZO KONEY JROSS SESUE OKNEE MRPIT ESCHR DEEEZ GUILD CRPLR TRPOD SMELI OYVAY VILLS CYN WHITE,2026-05-14,AWY_BASE,492
AIRWAY_PATH:Q41:A,AIRWAY:Q41,Q41,A,RN,CAWIN SCC,2026-05-14,AWY_BASE,493
AIRWAY_PATH:Q419:C,AIRWAY:Q419,Q419,C,RN,BROSS MYFOO NACYN BSERK HULKK RBV LAURN JFK DPK,2026-05-14,AWY_BASE,494
AIRWAY_PATH:Q42:C,AIRWAY:Q42,Q42,C,RN,LEWRP STRUK LCOLN SNKPT HIDON BUBAA PSYKO BRNAN HOTEE MIKYG SPOTZ ZIMMZ,2026-05-14,AWY_BASE,495
AIRWAY_PATH:Q43:A,AIRWAY:Q43,Q43,A,RN,TED BGQ CAWIN FAI,2026-05-14,AWY_BASE,496
AIRWAY_PATH:Q430:C,AIRWAY:Q430,Q430,C,RN,ZANDR AIR LEJOY VINSE BEETS LARRI SAAME BYRDD COPES RBV MYRCA CREEL RIFLE KYSKY CPCOD LIBBE FLAPE DEEPO ACK,2026-05-14,AWY_BASE,497
AIRWAY_PATH:Q436:C,AIRWAY:Q436,Q436,C,RN,KAYYS DIXSN BOOTT RRONS CFGCQ CFHHD RAAKK HERBA REXXY REBBL MTCAF DGRAF YYOST LAAYK COATE,2026-05-14,AWY_BASE,498
AIRWAY_PATH:Q437:C,AIRWAY:Q437,Q437,C,RN,CRPLR TRPOD SMELI OYVAY VILLS SIZZR METRO CLAUS GANDE PONCT,2026-05-14,AWY_BASE,499
AIRWAY_PATH:Q438:C,AIRWAY:Q438,Q438,C,RN,RUBYY BERYS TWIGS CFJHV CFKHS RAAKK,2026-05-14,AWY_BASE,500
AIRWAY_PATH:Q439:C,AIRWAY:Q439,Q439,C,RN,KALDA ZJAAY BYSEL RADDS SHHAY MAEVE WAALK JENGA RAINN BRIGS HARBO DRIFT MANTA PLUME SHERL DUNEE SARDI RIFLE AVCAT FOXWD BOGRT BLENO BEEKN FRIAR PQI,2026-05-14,AWY_BASE,501
AIRWAY_PATH:Q44:A,AIRWAY:Q44,Q44,A,RN,OME HLBLY TED,2026-05-14,AWY_BASE,502
AIRWAY_PATH:Q440:C,AIRWAY:Q440,Q440,C,RN,HUFFR IDIOM DEANI SLLAP BERYS TWIGS CFJHV CFKHS RAAKK,2026-05-14,AWY_BASE,503
AIRWAY_PATH:Q445:C,AIRWAY:Q445,Q445,C,RN,KALDA ZJAAY PAJET CAANO TBONN ZIZZI YAZUU SHAUP VALCO KYSKY,2026-05-14,AWY_BASE,504
AIRWAY_PATH:Q448:C,AIRWAY:Q448,Q448,C,RN,PTW LANNA DBABE BASYE TRIBS BIGGO BAF,2026-05-14,AWY_BASE,505
AIRWAY_PATH:Q45:A,AIRWAY:Q45,Q45,A,RN,DLG FAGIN NONDA AMOTT,2026-05-14,AWY_BASE,506
AIRWAY_PATH:Q450:C,AIRWAY:Q450,Q450,C,RN,HNNAH JFK DPK,2026-05-14,AWY_BASE,507
AIRWAY_PATH:Q46:A,AIRWAY:Q46,Q46,A,RN,VANTY BRW,2026-05-14,AWY_BASE,508
AIRWAY_PATH:Q47:A,AIRWAY:Q47,Q47,A,RN,AKN AMOTT,2026-05-14,AWY_BASE,509
AIRWAY_PATH:Q475:C,AIRWAY:Q475,Q475,C,RN,COPLY SCUPP CANAL TUSKY,2026-05-14,AWY_BASE,510
AIRWAY_PATH:Q476:C,AIRWAY:Q476,Q476,C,RN,JHW HOXIE DMACK STENT MAGIO WLKES JENNO HARTY NWTON,2026-05-14,AWY_BASE,511
AIRWAY_PATH:Q48:A,AIRWAY:Q48,Q48,A,RN,BRW SCC ROCES,2026-05-14,AWY_BASE,512
AIRWAY_PATH:Q480:C,AIRWAY:Q480,Q480,C,RN,ZANDR AIR LEJOY VINSE BEETS HOTEE MIKYG SPOTZ CANDR JEFFF IGN LESWL BAF KYLOH BEEKN ENE,2026-05-14,AWY_BASE,513
AIRWAY_PATH:Q481:C,AIRWAY:Q481,Q481,C,RN,JAMIE CONFR MGERK SOSBY YEELO ECOIL ZIGGI DPK,2026-05-14,AWY_BASE,514
AIRWAY_PATH:Q49:A,AIRWAY:Q49,Q49,A,RN,ODK AMOTT,2026-05-14,AWY_BASE,515
AIRWAY_PATH:Q5:C,AIRWAY:Q5,Q5,C,RN,HAROB MINNE HISKU HARPR HOMEG HUPTU STIKM,2026-05-14,AWY_BASE,516
AIRWAY_PATH:Q50:C,AIRWAY:Q50,Q50,C,RN,IIU HELUB ENGRA IBATE CUBIM,2026-05-14,AWY_BASE,517
AIRWAY_PATH:Q51:A,AIRWAY:Q51,Q51,A,RN,AKN SLIIM HLBLY OTZ,2026-05-14,AWY_BASE,518
AIRWAY_PATH:Q52:C,AIRWAY:Q52,Q52,C,RN,CHOPZ IPTAY AWYAT COLZI,2026-05-14,AWY_BASE,519
AIRWAY_PATH:Q53:A,AIRWAY:Q53,Q53,A,RN,ODK ILI OTZ,2026-05-14,AWY_BASE,520
AIRWAY_PATH:Q54:C,AIRWAY:Q54,Q54,C,RN,HRTWL NYLLA CHYPS AHOEY RAANE ASHEL NUTZE,2026-05-14,AWY_BASE,521
AIRWAY_PATH:Q55:A,AIRWAY:Q55,Q55,A,RN,ODK SLIIM OME,2026-05-14,AWY_BASE,522
AIRWAY_PATH:Q56:C,AIRWAY:Q56,Q56,C,RN,SAT CHURN SNIDR SEEDS WEMAR FFSSH WHAEL BLUMS BALIO MOLLR HEIGH PEKON HRV SJI CATLN KBLER KELLN KTOWN BYSCO JOOLI NUUMN ORACL KIWII,2026-05-14,AWY_BASE,523
AIRWAY_PATH:Q57:A,AIRWAY:Q57,Q57,A,RN,AKN MCG,2026-05-14,AWY_BASE,524
AIRWAY_PATH:Q58:C,AIRWAY:Q58,Q58,C,RN,KELLN GLOVR LUMAY STUKI PEETT,2026-05-14,AWY_BASE,525
AIRWAY_PATH:Q59:A,AIRWAY:Q59,Q59,A,RN,CDB BET,2026-05-14,AWY_BASE,526
AIRWAY_PATH:Q6:A,AIRWAY:Q6,Q6,A,RN,TKA JOKAP KUTDE LACIL BRW,2026-05-14,AWY_BASE,527
AIRWAY_PATH:Q60:C,AIRWAY:Q60,Q60,C,RN,BURGG BYJAC EVING LOOEY JAXSN SHIRY HURTS,2026-05-14,AWY_BASE,528
AIRWAY_PATH:Q61:A,AIRWAY:Q61,Q61,A,RN,FAI BRW,2026-05-14,AWY_BASE,529
AIRWAY_PATH:Q62:C,AIRWAY:Q62,Q62,C,RN,WATSN DAIFE NOLNN WEEVR PSKUR SRPEN FAALS ALEEE QUARM BURNI MCMAN VALLO RAV SUZIE SARAA,2026-05-14,AWY_BASE,530
AIRWAY_PATH:Q64:C,AIRWAY:Q64,Q64,C,RN,CATLN FIGEY HRTWL DARRL IDDAA DADDS MARCL TYI GUILD SAWED KALDA,2026-05-14,AWY_BASE,531
AIRWAY_PATH:Q65:C,AIRWAY:Q65,Q65,C,RN,MGNTY DOFFY FETAL ENEME KERLY DAREE LORNN SOGEE ENGRA OCASE RINTE,2026-05-14,AWY_BASE,532
AIRWAY_PATH:Q66:C,AIRWAY:Q66,Q66,C,RN,LITTR CIVKI RICKX TROVE BAZOO METWO MXEEN ALEAN,2026-05-14,AWY_BASE,533
AIRWAY_PATH:Q67:C,AIRWAY:Q67,Q67,C,RN,SMTTH CEMEX IBATE TONIO TAFTT JONEN HNN,2026-05-14,AWY_BASE,534
AIRWAY_PATH:Q68:C,AIRWAY:Q68,Q68,C,RN,LITTR SOPIE LAJUG RAMRD RYANS UNCKL YOCKY SPAYD HVQ TOMCA RONZZ HHOLZ HAMME CAPOE OTTTO,2026-05-14,AWY_BASE,535
AIRWAY_PATH:Q69:C,AIRWAY:Q69,Q69,C,RN,VIYAP OLBEC ISUZO GURGE BLAAN EMCET RYCKI LUNDD ILLSA EWESS RICCS,2026-05-14,AWY_BASE,536
AIRWAY_PATH:Q7:C,AIRWAY:Q7,Q7,C,RN,JINMO JOGEN JUDAH JUNEJ JAGWA AVE,2026-05-14,AWY_BASE,537
AIRWAY_PATH:Q70:C,AIRWAY:Q70,Q70,C,RN,HAILO LAS IFEYE BLIPP EEVUN BLOBB BAWER SAKES,2026-05-14,AWY_BASE,538
AIRWAY_PATH:Q71:C,AIRWAY:Q71,Q71,C,RN,BOBBD ATUME HAPKI KONGO WISTA ASERY GEFFS EMNEM PSYKO PSB,2026-05-14,AWY_BASE,539
AIRWAY_PATH:Q72:C,AIRWAY:Q72,Q72,C,RN,HACKS GEQUE BENSH RAMAY,2026-05-14,AWY_BASE,540
AIRWAY_PATH:Q73:C,AIRWAY:Q73,Q73,C,RN,MOMAR CABIC CHADT LVELL BLKWL ZELMA KRLIE HAKMN ZZYZX LAKRR GUNTR ZAINY EEVUN WINEN CRITO BROPH DERSO SAWTT ZATIP CORDU,2026-05-14,AWY_BASE,541
AIRWAY_PATH:Q74:C,AIRWAY:Q74,Q74,C,RN,NATEE BLD ZAINY FIZZL GARDD DEANN,2026-05-14,AWY_BASE,542
AIRWAY_PATH:Q75:C,AIRWAY:Q75,Q75,C,RN,ENEME TEUFL TEEEM SHRIL FISHO ILBEE SLOJO GSO BROSK DRAIK GVE HAMMZ TOOBN MURPH SACRI STOEN MXE COPES BIGGY SBJ JERSY FARLE BIZEX GREKI NELIE SWALO BOS COPLY,2026-05-14,AWY_BASE,543
AIRWAY_PATH:Q77:C,AIRWAY:Q77,Q77,C,RN,OCTAL MATLK STYMY WAKKO MJAMS ETORE SHRKS TEUFL WIGVO MELKR HRTWL,2026-05-14,AWY_BASE,544
AIRWAY_PATH:Q78:C,AIRWAY:Q78,Q78,C,RN,MARUE DUGGN TOADD,2026-05-14,AWY_BASE,545
AIRWAY_PATH:Q79:C,AIRWAY:Q79,Q79,C,RN,MCLAW VAULT FEMID WULFF MOLIE DOFFY EVANZ IISLY ZPLEN THRSR KAILL WUDEE RESPE SWAPP IIU,2026-05-14,AWY_BASE,546
AIRWAY_PATH:Q8:A,AIRWAY:Q8,Q8,A,RN,BRW GAL KKYLE TED,2026-05-14,AWY_BASE,547
AIRWAY_PATH:Q80:C,AIRWAY:Q80,Q80,C,RN,FAREV JEDER ENGRA DEWAK STEWS CEGMA JONEN BULVE WISTA LEVII RONZZ HHOLZ HAMME CAPOE OTTTO,2026-05-14,AWY_BASE,548
AIRWAY_PATH:Q801:A,AIRWAY:Q801,Q801,A,RN,HARPR FELIX ECTOF WAPTO TOU CYVIC EEVER MACIE LAIRE CSMOS JOH TED,2026-05-14,AWY_BASE,549
AIRWAY_PATH:Q806:C,AIRWAY:Q806,Q806,C,RN,VINDI MLT CANME VIGDU,2026-05-14,AWY_BASE,550
AIRWAY_PATH:Q81:C,AIRWAY:Q81,Q81,C,RN,TUNSL KARTR FIPES ZEILR PIKKR FARLU MGNTY ENDEW BITNY NICKI SNAPY BULZI IPOKE HONID,2026-05-14,AWY_BASE,551
AIRWAY_PATH:Q811:A,AIRWAY:Q811,Q811,A,RN,DLG KOWOK SAHOK FAGIN NONDA AMOTT GASTO TED GKN OYELI,2026-05-14,AWY_BASE,552
AIRWAY_PATH:Q812:C,AIRWAY:Q812,Q812,C,RN,TIMMR WELOK CEWDA ZOHAN CFPXT CFQHD KELTI AHPAH GOATR SYR FABEN LOXXE ARRKK STOMP MSLIN GAYEL,2026-05-14,AWY_BASE,553
AIRWAY_PATH:Q816:C,AIRWAY:Q816,Q816,C,RN,HOCKE CFRCN CFQHD KELTI AHPAH GOATR ARNII HANAA,2026-05-14,AWY_BASE,554
AIRWAY_PATH:Q818:C,AIRWAY:Q818,Q818,C,RN,FNT CFSMW CFTBR WOZEE KELIE VIEEW CFB BUFFY STOMP MSLIN GAYEL,2026-05-14,AWY_BASE,555
AIRWAY_PATH:Q82:C,AIRWAY:Q82,Q82,C,RN,WWSHR SPYDY DORET JHW WAYLA VIEEW TYROD MEMMS LOXXE PONCT,2026-05-14,AWY_BASE,556
AIRWAY_PATH:Q822:C,AIRWAY:Q822,Q822,C,RN,FNT CFSMW CFVXC HOZIR GONZZ PUPPY PAYGE CAM ENE AJJAY ALLEX,2026-05-14,AWY_BASE,557
AIRWAY_PATH:Q824:C,AIRWAY:Q824,Q824,C,RN,FNT HOCKE CFWBG,2026-05-14,AWY_BASE,558
AIRWAY_PATH:Q828:C,AIRWAY:Q828,Q828,C,RN,FARID DLH,2026-05-14,AWY_BASE,559
AIRWAY_PATH:Q83:C,AIRWAY:Q83,Q83,C,RN,JEVED ROYCO TAALN KONEY WURFL JUSEE EFFAY WHTTL GSO,2026-05-14,AWY_BASE,560
AIRWAY_PATH:Q834:C,AIRWAY:Q834,Q834,C,RN,ALBNG WIEDS DLH,2026-05-14,AWY_BASE,561
AIRWAY_PATH:Q84:C,AIRWAY:Q84,Q84,C,RN,JHW AUDIL PUPPY PAYGE CAM,2026-05-14,AWY_BASE,562
AIRWAY_PATH:Q842:C,AIRWAY:Q842,Q842,C,RN,BEALE BLIPP HOLTS WINEN TABLL PICHO PATIO PROXI VAANE KEETA CFXHJ,2026-05-14,AWY_BASE,563
AIRWAY_PATH:Q844:C,AIRWAY:Q844,Q844,C,RN,SYR VIBRU,2026-05-14,AWY_BASE,564
AIRWAY_PATH:Q848:C,AIRWAY:Q848,Q848,C,RN,SLLAP HHIPP CFZJP,2026-05-14,AWY_BASE,565
AIRWAY_PATH:Q85:C,AIRWAY:Q85,Q85,C,RN,LPERD BEEGE GIPPL ROYCO IGARY PELIE BUMMA KAATT SMPRR MIROO PBCUP MOXXY CRPLR,2026-05-14,AWY_BASE,566
AIRWAY_PATH:Q86:C,AIRWAY:Q86,Q86,C,RN,TTRUE YORRK SCHLS CUTRO VALEQ PLNDL,2026-05-14,AWY_BASE,567
AIRWAY_PATH:Q864:C,AIRWAY:Q864,Q864,C,RN,EBGIX TUGUB,2026-05-14,AWY_BASE,568
AIRWAY_PATH:Q87:C,AIRWAY:Q87,Q87,C,RN,PEAKY GOPEY HANDZ GRIDS TIRCO MATLK ONEWY ZERBO DUCEN OVENP FEMON VIYAP SUSYQ TAALN JROSS RAYVO HINTZ REDFH LCAPE ALWZZ ASHEL DADDS NOWAE RIDDN GEARS HURTS,2026-05-14,AWY_BASE,569
AIRWAY_PATH:Q88:C,AIRWAY:Q88,Q88,C,RN,HAKMN ZZYZX LAKRR NOOTN GARDD VERKN PROMT CHESZ SINRY ZAKRY YAMPA BICAR CHUWY KEEFF GUDDY VIVID JOYCC DKOTA,2026-05-14,AWY_BASE,570
AIRWAY_PATH:Q89:C,AIRWAY:Q89,Q89,C,RN,MANLE WAKUP PRMUS OVENP SHRKS YANTI HESPI CULTO SMTTH,2026-05-14,AWY_BASE,571
AIRWAY_PATH:Q9:C,AIRWAY:Q9,Q9,C,RN,SUMMA SMIGE SYNKR SUNBE SHIMR REBRG DERBB,2026-05-14,AWY_BASE,572
AIRWAY_PATH:Q90:C,AIRWAY:Q90,Q90,C,RN,DNERO ESGEE AREAF JASSE NAVJO YAMHA DAAYE SKWYR HUSQA VARNE ATIJA LEFAM BOVEY WELKY,2026-05-14,AWY_BASE,573
AIRWAY_PATH:Q902:A,AIRWAY:Q902,Q902,A,RN,OTZ FAI HRDNG RDFLG ORT AYZOL WOGUS SSR HOODS LVD DOOZI GESTI ANN HIGHE DISCO ROSLN SEA,2026-05-14,AWY_BASE,574
AIRWAY_PATH:Q905:C,AIRWAY:Q905,Q905,C,RN,HOCKE CFJBZ,2026-05-14,AWY_BASE,575
AIRWAY_PATH:Q907:C,AIRWAY:Q907,Q907,C,RN,POSTS PADDE SVM GADAV ATENE IMAMA,2026-05-14,AWY_BASE,576
AIRWAY_PATH:Q913:C,AIRWAY:Q913,Q913,C,RN,RAKAM CABCI TOPPS,2026-05-14,AWY_BASE,577
AIRWAY_PATH:Q917:C,AIRWAY:Q917,Q917,C,RN,SSM CFNBP CFRCC CFPWF CFSKX HOZIR WOZEE,2026-05-14,AWY_BASE,578
AIRWAY_PATH:Q92:C,AIRWAY:Q92,Q92,C,RN,CHUWY KUTCH WYYTE MAASI HANKU JORDY,2026-05-14,AWY_BASE,579
AIRWAY_PATH:Q923:C,AIRWAY:Q923,Q923,C,RN,HOCKE CFNBB,2026-05-14,AWY_BASE,580
AIRWAY_PATH:Q924:C,AIRWAY:Q924,Q924,C,RN,DLH VURLY WEMAN SUZLI UDORY HUDRU BYPOR MECNU BEKRR,2026-05-14,AWY_BASE,581
AIRWAY_PATH:Q93:C,AIRWAY:Q93,Q93,C,RN,MCLAW VAULT LINEY FOBIN EBAYY MALET DEBRL KENLL PRMUS WOPNR GIPPL SUSYQ ISUZO GURGE FISHO QUIWE JEPEX BENBY DOOGE HAPKI TONIO OCASE HEVAN,2026-05-14,AWY_BASE,582
AIRWAY_PATH:Q935:C,AIRWAY:Q935,Q935,C,RN,MONEE HOCKE CFRCN CFTBR WOZEE HANKK JOSSY AUDIL FABEN PONCT GDM BOS,2026-05-14,AWY_BASE,583
AIRWAY_PATH:Q937:C,AIRWAY:Q937,Q937,C,RN,TULEG WAYGO KRAZZ,2026-05-14,AWY_BASE,584
AIRWAY_PATH:Q94:C,AIRWAY:Q94,Q94,C,RN,WELUM MNGGO ROOLL,2026-05-14,AWY_BASE,585
AIRWAY_PATH:Q945:C,AIRWAY:Q945,Q945,C,RN,DIK OSMEE,2026-05-14,AWY_BASE,586
AIRWAY_PATH:Q951:C,AIRWAY:Q951,Q951,C,RN,POSTS PADDE SVM GADAV KATEK DAVDA SSENA TALNO KERVO DANOL,2026-05-14,AWY_BASE,587
AIRWAY_PATH:Q96:C,AIRWAY:Q96,Q96,C,RN,PURSE DODDL BFUNE GUNTR PIIXR FIZZL BAWER ROCCY SARAF KIMMR,2026-05-14,AWY_BASE,588
AIRWAY_PATH:Q97:C,AIRWAY:Q97,Q97,C,RN,TOVAR EBAYY MALET DEBRL KENLL PRMUS WOPNR JEVED CAKET ELMSZ YURCK ELLDE YEASO PAACK KOHLS SAWED KALDA ZJAAY PAJET CAANO TBONN ZIZZI YAZUU HEADI SAILN CCC NTMEG VENTE BLENO BEEKN FRIAR PQI,2026-05-14,AWY_BASE,589
AIRWAY_PATH:Q971:C,AIRWAY:Q971,Q971,C,RN,MOT CIPTA,2026-05-14,AWY_BASE,590
AIRWAY_PATH:Q98:C,AIRWAY:Q98,Q98,C,RN,HAKMN ZZYZX LAKRR DUZIT EEEZY PEEWE,2026-05-14,AWY_BASE,591
AIRWAY_PATH:Q99:C,AIRWAY:Q99,Q99,C,RN,KPASA DOFFY CAMJO HEPAR TEEEM BLAAN BWAGS EFFAY WNGUD POLYY RAANE OGRAE PEETT SHIRY UMBRE QUART HURLE,2026-05-14,AWY_BASE,592
AIRWAY_PATH:R2:A,AIRWAY:R2,R2,A,R,ELF GLENT LAPLE PDN,2026-05-14,AWY_BASE,593
AIRWAY_PATH:R2010:A,AIRWAY:R2010,R2010,A,PA,FOMBU OWILY PUROY SEPFY ZEVMO PAHSI UKSEC OBACE HAAZY OWXUY SEBAW LUKEC ZUPAK TIKOW COBSU,2026-05-14,AWY_BASE,594
AIRWAY_PATH:R2015:A,AIRWAY:R2015,R2015,A,PA,COBSU UFMUP TECLY FIPAM VAZPU NEREE YICAX FOGID VULHO XADZY NAYTI TAWMO UCUXY OKVAW SAXRY ZUHXY ROVZU OWILY SSR,2026-05-14,AWY_BASE,595
AIRWAY_PATH:R2020:A,AIRWAY:R2020,R2020,A,PA,HAAZY BKA PAHSI ZOLKO WUSID SAROC TAWMO,2026-05-14,AWY_BASE,596
AIRWAY_PATH:R2025:A,AIRWAY:R2025,R2025,A,PA,OWXUY TECLY SUKVY LVD VAZPU,2026-05-14,AWY_BASE,597
AIRWAY_PATH:R204:C,AIRWAY:R204,R204,C,PA,KEITH KYWEE KERNE KEONE KALIN,2026-05-14,AWY_BASE,598
AIRWAY_PATH:R220:C,AIRWAY:R220,R220,C,PA,NODLE NICHO NOSHO NEONN NANZA NOLTI NAYLD NULUK NANDY NATES NIKLL NYMPH NUZAN NRKEY NIPPI,2026-05-14,AWY_BASE,599
AIRWAY_PATH:R330:C,AIRWAY:R330,R330,C,PA,POWAL SYA,2026-05-14,AWY_BASE,600
AIRWAY_PATH:R332:C,AIRWAY:R332,R332,C,PA,MAJ VAVEE,2026-05-14,AWY_BASE,601
AIRWAY_PATH:R337:C,AIRWAY:R337,R337,C,PA,ISGOG ROR,2026-05-14,AWY_BASE,602
AIRWAY_PATH:R338:A,AIRWAY:R338,R338,A,PA,OME ICEEE IDROD ROCET MUCLA MARCC MORLY NATES HEDMI,2026-05-14,AWY_BASE,603
AIRWAY_PATH:R341:C,AIRWAY:R341,R341,C,PA,NATES HAVAM OFORD HODDY PUGGY CHUUK ODK,2026-05-14,AWY_BASE,604
AIRWAY_PATH:R35:A,AIRWAY:R35,R35,A,PA,FDV JUJXI ADLEN,2026-05-14,AWY_BASE,605
AIRWAY_PATH:R451:C,AIRWAY:R451,R451,C,PA,HIXOR POWAL AAMYY WALLT CHIKI ADK,2026-05-14,AWY_BASE,606
